id,source,url,publish_time,crawl_time,title,raw_text,metadata_json
WH-20240720-011,social_media_douyin,https://douyin.com/example/wuhua011,2024-07-20 19:00:00,2024-07-21 09:00:00,路灯不亮,"龙翔路这段路灯坏了快一个月了，晚上黑漆漆的，女孩子下班走这段路心里发毛。","{""district"":""龙翔街道""}"
WH-20240725-012,community_feedback,,2024-07-25 11:30:00,2024-07-26 08:00:00,道路施工完成,"圆通山周边道路改造施工已全部完成，路面平整了很多，出行方便多了，给施工队点赞。","{""district"":""华山街道""}"
WH-20240801-013,social_media_weibo,https://weibo.com/example/wuhua013,2024-08-01 12:00:00,2024-08-02 08:00:00,流动摊贩占道,"大观商业城门口流动摊贩占道经营，人行道都走不通了，买菜的和卖菜的挤成一团。","{""district"":""大观街道""}"
WH-20240805-014,gov_platform,https://gov.example.com/wuhua/w014,2024-08-05 14:30:00,2024-08-06 10:00:00,共享单车乱停放,"云南大学北门门口共享单车堆成山，行人只能走机动车道，太危险了。能不能管一管？","{""district"":""莲华街道""}"
WH-20240810-015,social_media_douyin,https://douyin.com/example/wuhua015,2024-08-10 18:00:00,2024-08-11 09:00:00,商户占道经营,"丰宁路两边商户把货物堆到人行道上，顾客走路要绕到马路上，很危险。","{""district"":""丰宁街道""}"
WH-20240815-016,local_gov_hotline,,2024-08-15 10:20:00,2024-08-16 08:00:00,矛盾纠纷,"隔壁邻居半夜三更唱歌放音乐，沟通了好几次都不听，物业也不管，快崩溃了。","{""district"":""红云街道""}"
WH-20240820-017,social_media_weibo,https://weibo.com/example/wuhua017,2024-08-20 21:00:00,2024-08-21 09:00:00,消防通道被堵,"小区消防通道被车辆堵死了，万一着火后果不堪设想！物业也不疏导，真的害怕。","{""district"":""黑林铺街道""}"
WH-20240825-018,local_gov_hotline,,2024-08-25 08:00:00,2024-08-26 10:00:00,停车难,"小西门商圈周边停车太难了，转了半小时找不到车位，路边乱停又被贴罚单。建议增加立体停车场。","{""district"":""护国街道""}"
WH-20240901-019,social_media_douyin,https://douyin.com/example/wuhua019,2024-09-01 17:30:00,2024-09-02 09:00:00,道路拥堵,"每天早晚高峰学府路堵得水泄不通，公交车也堵，上班迟到成了常态。","{""district"":""莲华街道""}"
WH-20240905-020,community_feedback,,2024-09-05 09:00:00,2024-09-06 08:00:00,道路破损,"虹山路有好几处路面坑坑洼洼的，下雨天积水严重，骑车经过差点摔倒。","{""district"":""丰宁街道""}"
WH-20240910-021,gov_platform,https://gov.example.com/wuhua/w021,2024-09-10 10:00:00,2024-09-11 10:00:00,停车费合理,"之前都说五华区这边商圈停车贵，来了发现其实很合理，半小时免费很良心，周边商场就该学学。","{""district"":""护国街道""}"
WH-20240915-022,local_gov_hotline,,2024-09-15 14:00:00,2024-09-16 08:00:00,独居老人求助,"我是对门邻居，80多岁的独居老人好几天没出门了，敲门也没人应，很担心出事。能不能帮忙看看？","{""district"":""大观街道""}"
WH-20240920-023,community_feedback,,2024-09-20 11:00:00,2024-09-21 08:00:00,养老服务需求,"西翥街道这边老年人多，但社区养老服务点太少了，活动也少。希望多建几个日间照料中心。","{""district"":""西翥街道""}"
WH-20240925-024,social_media_weibo,https://weibo.com/example/wuhua024,2024-09-25 15:00:00,2024-09-26 08:00:00,老旧小区改造完成,"五华区2024年完成了15个老旧小区改造项目的立项审批，我们小区也在其中，期待改造后的样子。","{""district"":""红云街道""}"
WH-20241001-025,gov_platform,https://gov.example.com/wuhua/w025,2024-10-01 09:00:00,2024-10-02 10:00:00,政策咨询,"想咨询一下老旧小区加装电梯的补贴政策，在哪里申请？需要准备什么材料？打了几个电话都没人说得清楚。","{""district"":""丰宁街道""}"
WH-20241005-026,local_gov_hotline,,2024-10-05 16:00:00,2024-10-06 08:00:00,办事效率低,"去社区办个居住证，跑了三趟还没办好，每次都说缺材料，但网站上写的材料清单都不一样。","{""district"":""普吉街道""}"
WH-20241010-027,social_media_douyin,https://douyin.com/example/wuhua027,2024-10-10 20:00:00,2024-10-11 09:00:00,12345热线反馈,"打了12345反映路灯问题，三天后就修好了，效率不错，希望保持。","{""district"":""龙翔街道""}"
WH-20241015-028,social_media_weibo,https://weibo.com/example/wuhua028,2024-10-15 11:00:00,2024-10-16 08:00:00,楼道灯不亮,"丰宁小区3栋的楼道灯坏了快两个月了，打了物业电话一直说在处理，到现在还是摸黑上楼。家里有老人，晚上看不清台阶太危险了。","{""district"":""丰宁街道""}"
WH-20241020-029,community_feedback,,2024-10-20 10:00:00,2024-10-21 08:00:00,噪音扰民,<p>翠湖周边<strong>酒吧街</strong>噪音太大，<br>晚上两三点还在放音乐，附近居民根本没法睡觉。<a href="https://example.com">详情链接</a></p>,"{""district"":""华山街道""}"
WH-20241025-030,gov_platform,https://gov.example.com/wuhua/w030,2024-10-25 14:00:00,2024-10-26 10:00:00,垃圾分类问题,"## 垃圾分类执行情况\n\n**黑林铺**的垃圾分类执行不到位，很多垃圾桶还是混装的。[查看详情](https://example.com/garbage)\n\n希望能真正落实分类措施。","{""district"":""黑林铺街道""}"
WH-20241101-031,social_media_weibo,https://weibo.com/example/wuhua031,2024-11-01 08:00:00,2024-11-02 08:00:00,短反馈,"好","{""district"":""华山街道""}"
WH-20241105-032,local_gov_hotline,,2024-11-05 09:30:00,2024-11-06 08:00:00,架空线缆隐患,"红云路旁架空线缆低垂，大货车经过差点挂到，很危险。已经反映过但没人来处理。","{""district"":""红云街道""}"
WH-20241110-033,social_media_douyin,https://douyin.com/example/wuhua033,2024-11-10 19:00:00,2024-11-11 09:00:00,社区活动好评,"社区组织的重阳节活动很温馨，老人们都很开心。希望以后多办这样的活动。","{""district"":""莲华街道""}"
WH-20241115-034,gov_platform,https://gov.example.com/wuhua/w034,2024-11-15 10:00:00,2024-11-16 10:00:00,绿化维护,"翠湖公园的绿化维护做得不错，花草修剪整齐，环境越来越好了。","{""district"":""华山街道""}"
WH-20241120-035,community_feedback,,2024-11-20 15:00:00,2024-11-21 08:00:00,水管爆裂,"西翥路主水管爆裂，路面全是水，已经影响周边三个小区供水了。什么时候能修好？","{""district"":""西翥街道""}"
